timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595690100807,12,Get shopping cart,200,OK,200 Users 1-47,text,true,,518,167,47,138,http://localhost:8080/shopping-carts/1,12,0,1
1595690100816,5,Create Account,201,Created,200 Users 2-46,,true,,216,406,46,138,http://localhost:8080/accounts,5,0,0
1595690100821,10,Get shopping cart,200,OK,200 Users 1-14,text,true,,518,167,47,138,http://localhost:8080/shopping-carts/1,10,0,0
1595690100816,16,Create Order,201,Created,200 Users 3-45,,true,,214,789,45,138,http://localhost:8080/orders,16,0,0
1595690100833,11,Get shopping cart,200,OK,200 Users 1-48,text,true,,523,167,48,141,http://localhost:8080/shopping-carts/1,11,0,0
1595690100841,5,Create Account,201,Created,200 Users 2-47,,true,,216,406,47,141,http://localhost:8080/accounts,5,0,0
1595690100841,16,Create Order,201,Created,200 Users 3-46,,true,,214,789,46,142,http://localhost:8080/orders,16,0,0
1595690100855,5,Create Account,201,Created,200 Users 2-14,,true,,216,406,47,142,http://localhost:8080/accounts,5,0,0
1595690100858,11,Get shopping cart,200,OK,200 Users 1-49,text,true,,518,167,49,144,http://localhost:8080/shopping-carts/1,10,0,0
1595690100866,5,Create Account,201,Created,200 Users 2-48,,true,,216,406,48,144,http://localhost:8080/accounts,5,0,0
1595690100865,17,Create Order,201,Created,200 Users 3-47,,true,,214,789,47,145,http://localhost:8080/orders,17,0,0
1595690100870,17,Create Order,201,Created,200 Users 3-4,,true,,214,789,47,145,http://localhost:8080/orders,17,0,0
1595690100882,11,Get shopping cart,200,OK,200 Users 1-50,text,true,,518,167,50,147,http://localhost:8080/shopping-carts/1,11,0,0
1595690100880,16,Create Order,201,Created,200 Users 3-14,,true,,214,789,48,147,http://localhost:8080/orders,16,0,0
1595690100893,4,Create Account,201,Created,200 Users 2-49,,true,,216,406,49,147,http://localhost:8080/accounts,4,0,0
1595690100890,17,Create Order,201,Created,200 Users 3-48,,true,,214,789,48,148,http://localhost:8080/orders,17,0,0
1595690100907,10,Get shopping cart,200,OK,200 Users 1-51,text,true,,523,167,51,150,http://localhost:8080/shopping-carts/1,10,0,0
1595690100907,10,Get shopping cart,200,OK,200 Users 1-15,text,true,,518,167,51,150,http://localhost:8080/shopping-carts/1,10,0,0
1595690100917,5,Create Account,201,Created,200 Users 2-50,,true,,216,406,50,150,http://localhost:8080/accounts,5,0,0
1595690100915,18,Create Order,201,Created,200 Users 3-49,,true,,214,789,49,151,http://localhost:8080/orders,18,0,1
1595690100933,11,Get shopping cart,200,OK,200 Users 1-52,text,true,,518,167,52,153,http://localhost:8080/shopping-carts/1,11,0,0
1595690100941,5,Create Account,201,Created,200 Users 2-15,,true,,216,406,51,153,http://localhost:8080/accounts,5,0,0
1595690100941,5,Create Account,201,Created,200 Users 2-51,,true,,216,406,51,153,http://localhost:8080/accounts,5,0,0
1595690100941,16,Create Order,201,Created,200 Users 3-50,,true,,214,789,50,154,http://localhost:8080/orders,16,0,0
1595690100957,10,Get shopping cart,200,OK,200 Users 1-53,text,true,,518,167,53,156,http://localhost:8080/shopping-carts/1,10,0,0
1595690100966,5,Create Account,201,Created,200 Users 2-52,,true,,216,406,52,156,http://localhost:8080/accounts,5,0,0
1595690100965,16,Create Order,201,Created,200 Users 3-15,,true,,214,789,51,156,http://localhost:8080/orders,16,0,0
1595690100965,16,Create Order,201,Created,200 Users 3-51,,true,,214,789,51,156,http://localhost:8080/orders,16,0,0
1595690100982,10,Get shopping cart,200,OK,200 Users 1-54,text,true,,518,167,54,159,http://localhost:8080/shopping-carts/1,10,0,0
1595690100991,5,Create Account,201,Created,200 Users 2-53,,true,,216,406,53,159,http://localhost:8080/accounts,5,0,0
1595690100993,10,Get shopping cart,200,OK,200 Users 1-16,text,true,,518,167,54,159,http://localhost:8080/shopping-carts/1,10,0,0
1595690100991,16,Create Order,201,Created,200 Users 3-52,,true,,214,789,52,160,http://localhost:8080/orders,16,0,0
1595690101007,10,Get shopping cart,200,OK,200 Users 1-55,text,true,,523,167,55,162,http://localhost:8080/shopping-carts/1,10,0,0
1595690101016,5,Create Account,201,Created,200 Users 2-54,,true,,216,406,54,162,http://localhost:8080/accounts,5,0,0
1595690101026,5,Create Account,201,Created,200 Users 2-16,,true,,216,406,54,162,http://localhost:8080/accounts,5,0,0
1595690101016,16,Create Order,201,Created,200 Users 3-53,,true,,214,789,53,163,http://localhost:8080/orders,16,0,0
1595690101032,10,Get shopping cart,200,OK,200 Users 1-56,text,true,,518,167,56,165,http://localhost:8080/shopping-carts/1,10,0,0
